exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,ĐT và SX Petro Miền Trung,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,28.0,578.0,0.252,http://www.petrocenter.com.vn,3.1,-0.087,-0.095,-0.172,46.3,46.3,CT,PMG,,,,
UPCOM,Cấp Nước Phú Mỹ,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2013.0,59.0,334.0,0.0,http://www.pmw.vn,3.7,-0.096,-0.142,0.14,47.0,47.0,CT,PMW,,,,
UPCOM,Xăng dầu Dầu khí Nam Định,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,199.0,0.0,0.0,http://www.pvoilnamdinh.com.vn,3.7,-0.017,-0.029,-0.258,6.7,6.7,CT,PND,,,,
UPCOM,PVOIL Thái Bình,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,125.0,0.0,0.0,http://www.pvoilthaibinh.com,3.4,-0.017,-0.042,1.153,10.9,10.9,CT,POB,,,,
UPCOM,PV Oil Vũng Áng,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,177.0,0.0,0.0,http://www.pvoilvungang.com,4.0,0.018,-0.075,-0.027,12.5,12.5,CT,POV,,,,
UPCOM,Điện nước An Giang,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2011.0,1412.0,596.0,0.0,http://www.diennuocag.com.vn,3.8,0.13,-0.229,0.136,56.3,56.3,CT,DNA,,,,
HOSE,Nhiệt điện Phả Lại,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,803.0,9020.0,0.131,http://ppc.evn.vn,3.6,0.005,-0.087,-0.06,320.6,326.2,CT,PPC,,,,
UPCOM,PETEC Bình Định,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2001.0,76.0,228.0,0.0,http://petecbidico.com.vn/,3.5,-0.017,-0.036,0.133,4.0,4.0,CT,GCB,,,,
UPCOM,Vận tải và DV Petrolimex Hà Tây,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2000.0,236.0,189.0,0.0,http://www.ptshatay.petrolimex.com.vn,3.8,-0.017,-0.042,0.386,3.5,3.5,CT,PTH,,,,
UPCOM,Điện lực Dầu khí Bắc Kạn,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,25.0,0.0,0.0,,4.1,,,,8.6,8.6,CT,PBK,,,,
