exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,Kỹ thuật NN Cần Thơ,151.0,1357.0,Hóa chất,Chemicals,1976.0,714.0,3181.0,0.002,http://www.tsccantho.com.vn,3.6,-0.02,-0.1,-0.518,196.9,196.9,CT,TSC,,,,
HOSE,Phân lân Văn Điển,151.0,1357.0,Hóa chất,Chemicals,2009.0,362.0,0.0,0.0,https://vandienfmp.vn,4.0,-0.006,-0.124,-0.14,37.7,37.7,CT,VAF,,,,
UPCOM,Phốt pho Apatit Việt Nam,151.0,1357.0,Hóa chất,Chemicals,2014.0,217.0,189.0,0.001,https://pacvietnam.vn,4.4,-0.032,0.001,,25.0,25.0,CT,PAT,,,,
HOSE,Khử trùng Việt Nam,151.0,1357.0,Hóa chất,Chemicals,1993.0,1216.0,687.0,0.027,http://www.vfc.com.vn,4.1,-0.023,-0.074,0.234,41.7,41.7,CT,VFG,,,,
UPCOM,Dầu nhờn PV Oil,151.0,1357.0,Hóa chất,Chemicals,2009.0,108.0,0.0,0.008,http://www.lube.pvoil.vn,3.7,-0.017,-0.101,-0.437,8.9,8.9,CT,PVO,,,,
HOSE,Thuốc sát trùng Việt Nam,151.0,1357.0,Hóa chất,Chemicals,2006.0,360.0,780.0,0.007,http://www.vipesco.com.vn,3.9,-0.025,0.017,-0.06,24.5,24.5,CT,VPS,,,,
UPCOM,Nhựa Tân Hóa,150.0,1353.0,Hóa chất,Chemicals,2000.0,350.0,0.0,0.0,http://www.tanhoaplastic.vn,3.5,-0.017,-0.042,0.286,8.0,8.0,CT,VKP,,,,
UPCOM,Nhựa Việt Nam,150.0,1353.0,Hóa chất,Chemicals,2007.0,51.0,489.0,0.01,http://www.vinaplast.com.vn,4.0,0.001,-0.042,-0.291,19.4,19.4,CT,VNP,,,,
HOSE,Tập đoàn CN Cao su VN,150.0,1353.0,Hóa chất,Chemicals,2010.0,217.0,0.0,0.005,http://www.vnrubbergroup.com,3.9,0.03,0.069,-0.244,4000.0,4000.0,CT,GVR,,,,
UPCOM,Thuốc thú y Trung ương I,151.0,1357.0,Hóa chất,Chemicals,2000.0,107.0,266.0,0.0,http://www.vinavetco.com,3.7,-0.063,-0.149,0.023,14.2,14.2,CT,VNY,,,,
UPCOM,Việt Trung Quảng Bình,150.0,1353.0,Hóa chất,Chemicals,2010.0,458.0,570.0,0.0,http://www.viettrungqb.com.vn,3.4,-0.017,-0.042,0.286,17.1,17.1,CT,VTQ,,,,
UPCOM,Thuốc Thú y Trung ương VETVACO,151.0,1357.0,Hóa chất,Chemicals,1993.0,234.0,210.0,0.0,http://www.vetvaco.com.vn,3.6,-0.017,-0.042,0.722,3.6,3.6,CT,VXP,,,,
