,ticker,group_code,company_name,company_short_name
1458,VES,UpcomIndex,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO,MÊ CA VNECO
1459,VFC,UpcomIndex,Công ty Cổ phần VINAFCO,Vận tải biển VINAFCO
1460,VFG,VNINDEX,Công ty Cổ phần Khử trùng Việt Nam,Khử trùng Việt Nam
1461,VFR,UpcomIndex,Công ty Cổ phần Vận tải và Thuê tàu,Vận tải Vietfracht
1462,VFS,UpcomIndex,Công ty Cổ phần Chứng khoán Nhất Việt,Chứng khoán Nhất Việt
1463,VGC,VNINDEX,Tổng Công ty Viglacera - Công ty Cổ phần,Tổng Công ty Viglacera
1464,VGP,HNXIndex,Công ty Cổ phần Cảng Rau Quả,Cảng Rau Quả
1465,VGS,HNXIndex,Công ty Cổ phần Ống thép Việt Đức VG PIPE,Ống thép Việt Đức
1466,VUA,UpcomIndex,Công ty Cổ phần Chứng khoán Stanley Brothers,Chứng khoán Stanley Brothers
1467,NDT,UpcomIndex,Tổng Công ty Cổ phần Dệt may Nam Định,Dệt may Nam Định
1468,VHC,VNINDEX,Công ty Cổ phần Vĩnh Hoàn,Thủy sản Vĩnh Hoàn
1469,VHF,UpcomIndex,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà,Chế biến lương thực Vĩnh Hà
1470,VHG,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam
1471,VHH,UpcomIndex,Công ty Cổ phần Đầu tư Kinh doanh nhà Thành Đạt,Kinh doanh nhà Thành Đạt
1472,VHL,HNXIndex,Công ty Cổ phần Viglacera Hạ Long,Viglacera Hạ Long
1473,VIB,VNINDEX,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIBBank
1474,VIC,VNINDEX,Tập đoàn Vingroup - Công ty Cổ phần,VinGroup
1475,TVT,VNINDEX,Tổng Công ty Việt Thắng - CTCP,May Việt Thắng
1476,VID,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Viễn Đông
1477,SB1,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Bia Sài Gòn - Nghệ Tĩnh
1478,PVO,UpcomIndex,Công ty Cổ phần Dầu nhờn PV Oil,Dầu nhờn PV Oil
1479,MBG,HNXIndex,Công ty Cổ phần Tập đoàn MBG,Tập đoàn MBG
1480,VDP,VNINDEX,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,Dược phẩm VIDIPHA
1481,VIE,UpcomIndex,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,CN Viễn thông VI TE CO
1482,MVB,HNXIndex,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,Mỏ Việt Bắc - TKV
1483,VJC,VNINDEX,Công ty Cổ phần Hàng không Vietjet,Vietjet Air
1484,DVM,HNXIndex,Công ty Cổ phần Dược liệu Việt Nam,Dược liệu Việt Nam
1485,VTD,UpcomIndex,Công ty Cổ phần Vietourist Holdings,Du lịch Vietourist
1486,VTR,UpcomIndex,Công ty Cổ phần Du lịch và tiếp thị giao thông vận tải Việt Nam - Vietravel,Du lịch Vietravel
1487,VIG,HNXIndex,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam,CK TM và CN Việt Nam
