,ticker,group_code,company_name,company_short_name
201,HFB,UpcomIndex,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Công trình Cầu phà TP HCM
202,CAV,VNINDEX,Công ty Cổ phần Dây cáp điện Việt Nam,Dây cáp điện Việt Nam
203,CMW,UpcomIndex,Công ty Cổ phần Cấp nước Cà Mau,Cấp nước Cà Mau
204,KCB,UpcomIndex,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Khoáng Sản Luyện Kim Cao Bằng
205,CBS,UpcomIndex,Công ty Cổ phần Mía đường Cao Bằng,Mía đường Cao Bằng
206,CCI,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,CIDICO
207,CCL,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
208,VSM,HNXIndex,Công ty Cổ phần Container Miền Trung,Container Miền Trung
209,CCM,UpcomIndex,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xi măng Cần Thơ
210,CCR,HNXIndex,Công ty Cổ phần Cảng Cam Ranh,Cảng Cam Ranh
211,CDC,VNINDEX,Công ty Cổ phần Chương Dương,Chương Dương Corp
212,CDH,UpcomIndex,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,CTCC và DV Du lịch Hải Phòng
213,CDG,UpcomIndex,Công ty Cổ phần Cầu Đuống,VLXD Cầu Đuống
214,CDO,UpcomIndex,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và PT Đô thị
215,CEN,UpcomIndex,Công ty Cổ phần CENCON Việt Nam,CENCON Việt Nam
216,CRE,VNINDEX,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản Thế Kỷ
217,STK,VNINDEX,Công ty Cổ phần Sợi Thế Kỷ,Sợi Thế Kỷ
218,CEO,HNXIndex,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO
219,TW3,UpcomIndex,Công ty Cổ phần Dược Trung Ương 3,Dược TW3
220,CFM,UpcomIndex,Công ty Cổ phần Đầu tư CFM,Đầu tư CFM
221,CH5,UpcomIndex,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng số 5 Hà Nội
222,CHC,UpcomIndex,Công ty Cổ phần Cẩm Hà,Nội thất Cẩm Hà
223,CLX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),XNK và Đầu tư Chợ Lớn (CHOLIMEX)
224,CHP,VNINDEX,Công ty Cổ phần Thủy điện Miền Trung,Thủy điện Miền Trung
225,CI5,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng số 5,Đầu tư Xây dựng số 5
226,CID,UpcomIndex,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Phát triển Cơ sở Hạ tầng
227,CE1,UpcomIndex,Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1,Thiết bị Công nghiệp CIE1
228,CEG,UpcomIndex,Công ty Cổ phần Tập đoàn Xây dựng và Thiết bị Công nghiệp,XD và Thiết bị Công nghiệp
229,C4G,UpcomIndex,Công ty Cổ phần Tập Đoàn Cienco4,Tập Đoàn Cienco4
230,C12,UpcomIndex,Công ty Cổ phần Cầu 12,Cầu 12
231,CIG,VNINDEX,Công ty Cổ phần COMA 18,Xây dựng COMA 18
232,CII,VNINDEX,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Hạ tầng Kỹ thuật TP.HCM
233,CKG,VNINDEX,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Xây dựng Kiên Giang
234,CIP,UpcomIndex,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,XL và SX công nghiệp
235,CBI,UpcomIndex,Công ty Cổ phần Gang thép Cao Bằng,Gang thép Cao Bằng
236,CJC,HNXIndex,Công ty Cổ phần Cơ điện Miền Trung,Cơ điện Miền Trung
237,CK8,UpcomIndex,Công ty Cổ phần Cơ khí 120,Cơ khí 120
238,CKD,UpcomIndex,Công ty Cổ phần Cơ khí Đông Anh Licogi,Đông Anh Licogi
239,CMK,UpcomIndex,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Cơ khí Mạo Khê - Vinacomin
240,CKV,HNXIndex,Công ty Cổ phần CokyVina,CokyVina
241,CLC,VNINDEX,Công ty Cổ phần Cát Lợi,Thuốc lá Cát Lợi
242,ADG,VNINDEX,Công ty Cổ phần Clever Group,Clever Group
243,CLG,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Cotec Land
244,CLL,VNINDEX,Công ty Cổ phần Cảng Cát Lái,Cảng Cát Lái
245,CMF,UpcomIndex,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm Cholimex
246,CLW,VNINDEX,Công ty Cổ phần Cấp nước Chợ Lớn,Cấp nước Chợ Lớn
247,TVH,UpcomIndex,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Tư vấn XD công trình Hàng hải
248,CMC,HNXIndex,Công ty Cổ phần Đầu tư CMC,Đầu tư CMC
249,TIN,UpcomIndex,Công ty Tài chính Cổ phần Tín Việt,Tài chính Cổ phần Tín Việt
250,CMG,VNINDEX,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC
251,CMI,UpcomIndex,Công ty Cổ phần CMISTONE Việt Nam,CMISTONE Việt Nam
252,CMD,UpcomIndex,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,VLXD và Nội thất TP.HCM
253,CMP,UpcomIndex,Công ty Cổ phần Cảng Chân Mây,Cảng Chân Mây
254,CMS,HNXIndex,Công ty Cổ phần Tập đoàn CMH Việt Nam,CMH Group
255,CAT,UpcomIndex,Công ty Cổ phần Thủy sản Cà Mau,Thủy sản Cà Mau
256,CMT,UpcomIndex,Công ty Cổ phần Công nghệ mạng và Truyền thông,CN mạng và Truyền thông
257,CMV,VNINDEX,Công ty Cổ phần Thương nghiệp Cà Mau,Thương nghiệp Cà Mau
258,CMX,VNINDEX,Công ty Cổ phần CAMIMEX Group,CAMIMEX Group
259,CNC,UpcomIndex,Công ty Cổ phần Công nghệ cao Traphaco,Công nghệ cao Traphaco
260,CNG,VNINDEX,Công ty Cổ phần CNG Việt Nam,CNG Việt Nam
261,CNT,UpcomIndex,Công ty Cổ phần Tập đoàn CNT,Tập đoàn CNT
262,CC1,UpcomIndex,Tổng Công ty Xây dựng số 1 - CTCP,TCT Xây dựng số 1
263,CDP,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm TW Codupha
264,COM,VNINDEX,Công ty Cổ phần Vật tư Xăng dầu,Vật tư Xăng dầu
265,TCK,UpcomIndex,Tổng Công ty Cơ khí Xây dựng - CTCP,COMA
266,CMN,UpcomIndex,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Colusa -  Miliket
267,ICN,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,XD Dầu Khí IDICO
268,CNN,UpcomIndex,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng Coninco
269,CPC,HNXIndex,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Thuốc sát trùng Cần Thơ
270,DP1,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm Trung ương CPC1
271,DTP,UpcomIndex,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm CPC1 Hà Nội
272,CPH,UpcomIndex,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,PV mai táng Hải Phòng
273,CPI,UpcomIndex,Công ty Cổ phần Đầu tư Cảng Cái Lân,Đầu tư Cảng Cái Lân
274,CIA,HNXIndex,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,DV Sân Bay Cam Ranh
275,CRC,VNINDEX,Công ty Cổ phần Create Capital Việt Nam,Create Capital Việt Nam
276,CSC,HNXIndex,Công ty Cổ phần Tập đoàn COTANA,Tập đoàn COTANA
277,SGP,UpcomIndex,Công ty Cổ phần Cảng Sài Gòn,Cảng Sài Gòn
278,CSM,VNINDEX,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Cao su Miền Nam
279,CSV,VNINDEX,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất Cơ bản miền Nam
280,CT3,UpcomIndex,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng công trình 3
281,CT6,UpcomIndex,Công ty Cổ phần Công trình 6,Công trình 6
282,CTA,UpcomIndex,Công ty Cổ phần Vinavico,Xây dựng Vinavico
283,CTB,HNXIndex,Công ty Cổ phần Chế tạo Bơm Hải Dương,Bơm Hải Dương
284,CTC,HNXIndex,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Tập đoàn Hoàng Kim Tây Nguyên
285,CTD,VNINDEX,Công ty Cổ phần Xây dựng Coteccons,Xây dựng Coteccons
286,CTF,VNINDEX,Công ty Cổ phần City Auto,City Auto
287,CTG,VNINDEX,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank
288,GTS,UpcomIndex,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công trình Giao thông Sài Gòn
289,CTI,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Cường Thuận IDICO
290,ICT,VNINDEX,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Viễn thông - Tin học Bưu điện
291,CTN,UpcomIndex,Công ty Cổ phần Xây dựng Công trình ngầm,VINAVICO
292,CTP,HNXIndex,Công ty Cổ phần Minh Khang Capital Trading Public,Minh Khang Capital Trading Public
293,CTR,VNINDEX,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel
294,CTS,VNINDEX,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Chứng khoán Vietinbank
295,CTT,HNXIndex,Công ty Cổ phần Chế tạo máy Vinacomin,Chế tạo máy Vinacomin
296,TTS,UpcomIndex,Công ty Cổ phần Cán thép Thái Trung,Cán thép Thái Trung
297,CTW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Cần Thơ,Cấp thoát nước Cần Thơ
298,CTX,HNXIndex,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,CONSTREXIM
299,AUM,UpcomIndex,Công ty Cổ phần Vinacafe Sơn Thành,Vinacafe Sơn Thành
300,CVN,HNXIndex,Công ty Cổ phần Vinam,Vinam Group
301,CVT,VNINDEX,Công ty Cổ phần CMC,CMC JSC
302,CX8,HNXIndex,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Constrexim số 8
303,CYC,UpcomIndex,Công ty Cổ phần Gạch men Chang Yih,Gạch men Chang YIH
304,D11,HNXIndex,Công ty Cổ phần Địa ốc 11,Địa ốc 11
305,D2D,VNINDEX,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Phát triển Đô thị số 2
306,DAC,UpcomIndex,Công ty Cổ phần 382 Đông Anh,CTCP 382 Đông Anh
307,DCR,UpcomIndex,Công ty Cổ phần Gạch men COSEVCO,Gạch men COSEVCO
308,DAD,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Phát triển GD Đà Nẵng
309,DAE,HNXIndex,Công ty Cổ phần Sách Giáo dục tại TP.Đà Nẵng,Sách Giáo dục Đà Nẵng
310,DAG,VNINDEX,Công ty Cổ phần Tập đoàn Nhựa Đông Á,TĐ Nhựa Đông Á
311,DCG,UpcomIndex,Công ty Cổ phần Tổng Công ty May Đáp Cầu,May Đáp Cầu
312,DAH,VNINDEX,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Tập đoàn Khách sạn Đông Á
313,DRG,UpcomIndex,Công ty Cổ phần Cao su Đắk Lắk,Cao su Đắk Lắk
314,DRI,UpcomIndex,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Đầu tư Cao su Đắk Lắk
315,UDL,UpcomIndex,Công ty Cổ phần Đô thị và Môi trường Đắk Lắk,Đô thị và Môi trường Đắk Lắk
316,DWC,UpcomIndex,Công ty Cổ phần Cấp nước Đắk Lắk,Cấp nước Đắk Lắk
317,DHB,UpcomIndex,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Đạm Hà Bắc
318,ADS,VNINDEX,Công ty Cổ phần DAMSAN,Dệt sợi DAMSAN
319,DAN,UpcomIndex,Công ty Cổ phần Dược Danapha,Dược Danapha
320,DNE,UpcomIndex,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Môi trường Đô thị Đà Nẵng
321,DAP,UpcomIndex,Công ty Cổ phần Đông Á,Bao bì Đông Á
322,DAS,UpcomIndex,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Thiết bị Dầu khí Đà Nẵng
323,DPG,VNINDEX,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương
324,DBC,VNINDEX,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Tập đoàn DABACO
325,TDB,UpcomIndex,Công ty Cổ phần Thủy điện Định Bình,Thủy điện Định Bình
326,DBM,UpcomIndex,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,BAMEPHARM
327,DBT,VNINDEX,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm Bến Tre
328,DC2,HNXIndex,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,DIC Số 2
329,DC4,VNINDEX,Công ty Cổ phần Xây dựng DIC Holdings,Xây dựng DIC Holdings
330,DCL,VNINDEX,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm Cửu Long
331,DCM,VNINDEX,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Đạm Cà Mau
332,DCS,UpcomIndex,Công ty Cổ phần Tập đoàn Đại Châu,Đại Châu
333,DCT,UpcomIndex,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Tấm lợp VLXD Đồng Nai
334,VBG,UpcomIndex,Công ty Cổ phần Địa chất Việt Bắc - TKV,Địa chất Việt Bắc - TKV
335,DDM,UpcomIndex,Công ty Cổ phần Hàng hải Đông Đô,Hàng hải Đông Đô
336,DDN,UpcomIndex,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Dược - TB Y tế Đà Nẵng
337,DDV,UpcomIndex,Công ty Cổ phần DAP - Vinachem,DAP - Vinachem
338,DCF,UpcomIndex,Công ty Cổ phần Xây dựng và Thiết kế số 1,XD và Thiết kế số 1
339,DM7,UpcomIndex,Công ty Cổ phần Dệt may 7,Dệt may 7
340,DFF,UpcomIndex,Công ty Cổ phần Tập đoàn Đua Fat,Tập đoàn Đua Fat
341,DGC,VNINDEX,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất Đức Giang
342,DGT,UpcomIndex,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công trình GT Đồng Nai
343,DGW,VNINDEX,Công ty Cổ phần Thế Giới Số,Thế Giới Số
344,DHA,VNINDEX,Công ty Cổ phần Hóa An,Hóa An
345,DHC,VNINDEX,Công ty Cổ phần Đông Hải Bến Tre,Đông Hải Bến Tre
346,DHG,VNINDEX,Công ty Cổ phần Dược Hậu Giang,Dược Hậu Giang
347,DHM,VNINDEX,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Khoáng sản Dương Hiếu
348,DHP,HNXIndex,Công ty Cổ phần Điện cơ Hải Phòng,Điện cơ Hải Phòng
349,DHT,HNXIndex,Công ty Cổ phần Dược phẩm Hà Tây,Dược phẩm Hà Tây
350,DIC,UpcomIndex,Công ty Cổ phần Đầu tư và Thương mại DIC,ĐT và TM DIC
351,DC1,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Phát triển Xây dựng số 1 (DIC1)
352,DID,UpcomIndex,Công ty Cổ phần DIC - Đồng Tiến,DIC - Đồng Tiến
353,TTE,VNINDEX,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,ĐT Năng lượng Trường Thịnh
354,DIG,VNINDEX,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,DIC Corp
355,DIH,HNXIndex,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,PT Xây dựng Hội An
356,DL1,HNXIndex,Công ty Cổ phần Tập đoàn Alpha Seven,Tập đoàn Alpha 7
357,DLD,UpcomIndex,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch Đắk Lắk
358,DLG,VNINDEX,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Đức Long Gia Lai
359,DLM,UpcomIndex,Công ty Cổ phần Chiếu sáng công cộng Đà Nẵng,Chiếu sáng công cộng Đà Nẵng
360,DLR,UpcomIndex,Công ty Cổ phần Địa ốc Đà Lạt,Địa ốc Đà Lạt
361,DUS,UpcomIndex,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Dịch vụ Đô thị Đà Lạt
362,DMC,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm DOMESCO
363,NSS,UpcomIndex,Công ty Cổ phần Nông súc sản Đồng Nai,Nông súc sản Đồng Nai
364,DNC,HNXIndex,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Điện nước Hải Phòng
365,DNW,UpcomIndex,Công ty Cổ phần Cấp nước Đồng Nai,Cấp nước Đồng Nai
366,DNH,UpcomIndex,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi
367,DNL,UpcomIndex,Công ty Cổ phần Logistics Cảng Đà Nẵng,Logistics Cảng Đà Nẵng
368,DNM,HNXIndex,Tổng Công ty Cổ phần Y tế Danameco,Y tế Danameco
369,DND,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,XD và Vật liệu Đồng Nai
370,DNN,UpcomIndex,Công ty Cổ phần Cấp nước Đà Nẵng,Cấp nước Đà Nẵng
371,DNP,HNXIndex,Công ty Cổ phần DNP Holding,Nhựa Đồng Nai
372,CDN,HNXIndex,Công ty Cổ phần Cảng Đà Nẵng,Cảng Đà Nẵng
373,DSC,UpcomIndex,Công ty Cổ phần Chứng khoán DSC,Chứng khoán DSC
374,DNT,UpcomIndex,Công ty Cổ phần Du lịch Đồng Nai,Du lịch Đồng Nai
375,DOC,UpcomIndex,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Vật tư nông nghiệp Đồng Nai
376,MCD,UpcomIndex,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà,Môi trường và Đô thị Đông Hà
377,BSD,UpcomIndex,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Bia, rượu Sài Gòn - Đồng Xuân"
378,DMN,UpcomIndex,Công ty Cổ phần Domenal,Domenal
379,DOP,UpcomIndex,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Vận tải XD Đồng Tháp
380,CDR,UpcomIndex,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng Cao su Đồng Nai
381,DWS,UpcomIndex,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Cấp nước Đồng Tháp
382,DPC,HNXIndex,Công ty Cổ phần Nhựa Đà Nẵng,Nhựa Đà Nẵng
383,DPM,VNINDEX,Tổng Công ty Cổ phần Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Đạm Phú Mỹ
384,DPP,UpcomIndex,Công ty Cổ phần Dược Đồng Nai,Dược Đồng Nai
385,DPR,VNINDEX,Công ty Cổ phần Cao su Đồng Phú,Cao su Đồng Phú
386,DPS,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Đầu tư Phát triển Sóc Sơn
387,DP2,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm TW 2
388,DQC,VNINDEX,Công ty Cổ phần Bóng đèn Điện Quang,Bóng đèn Điện Quang
389,DRC,VNINDEX,Công ty Cổ phần Cao su Đà Nẵng,Cao su Đà Nẵng
390,DRH,VNINDEX,Công ty Cổ phần DRH Holdings,DRH Holdings
391,DRL,VNINDEX,Công ty Cổ phần Thủy điện - Điện lực 3,Thủy điện - Điện lực 3
392,DSN,VNINDEX,Công ty Cổ phần Công viên nước Đầm Sen,Công viên nước Đầm Sen
393,DST,HNXIndex,Công ty Cổ phần Đầu tư Sao Thăng Long,Đầu tư Sao Thăng Long
394,DSV,UpcomIndex,Công ty Cổ phần Đường sắt Vĩnh Phú,Đường sắt Vĩnh Phú
395,DTA,VNINDEX,Công ty Cổ phần Đệ Tam,BĐS Đệ Tam
396,BDT,UpcomIndex,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,VLXD Đồng Tháp
397,DTC,HNXIndex,Công ty Cổ phần Viglacera Đông Triều,Viglacera Đông Triều
398,DTE,UpcomIndex,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Đại Trường Thành Holdings
399,DTI,UpcomIndex,Công ty Cổ phần Đầu tư Đức Trung,Đầu tư Đức Trung
400,DTL,VNINDEX,Công ty Cổ phần Đại Thiên Lộc,Đại Thiên Lộc
401,DTN,UpcomIndex,Công ty Cổ phần Diêm Thống Nhất,Diêm Thống Nhất
402,DTT,VNINDEX,Công ty Cổ phần Kỹ nghệ Đô Thành,Kỹ nghệ Đô Thành
403,DTV,UpcomIndex,Công ty Cổ phần Phát triển điện Trà Vinh,PT điện Nông thôn Trà Vinh
404,MTV,UpcomIndex,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công trình đô thị Vũng Tàu
405,MGG,UpcomIndex,Tổng Công ty Đức Giang - Công ty Cổ phần,May Đức Giang
406,DVC,UpcomIndex,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,TM dịch vụ Cảng Hải Phòng
407,DVG,HNXIndex,Công ty Cổ phần Tập đoàn Sơn Đại Việt,Tập đoàn Sơn Đại Việt
408,DVP,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,ĐT và PT Cảng Đình Vũ
409,DSG,UpcomIndex,Công ty Cổ phần Kính Đáp Cầu,Kính Đáp Cầu
410,DVW,UpcomIndex,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,DV và XD cấp nước Đồng Nai
411,DXG,VNINDEX,Công ty Cổ phần Tập đoàn Đất Xanh,Địa ốc Đất Xanh
412,DXL,UpcomIndex,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Xuất nhập khẩu Lạng Sơn
413,DXP,HNXIndex,Công ty Cổ phần Cảng Đoạn Xá,Cảng Đoạn Xá
414,DXS,VNINDEX,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh
415,DXV,VNINDEX,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Vật liệu Xây dựng Đà Nẵng
416,DZM,HNXIndex,Công ty Cổ phần Cơ điện Dzĩ An,Cơ điện Dzĩ An
417,FUESSV50,VNINDEX,Quỹ ETF SSIAM VNX50,Quỹ ETF SSIAM VNX50
418,E1VFVN30,VNINDEX,Quỹ ETF DCVFMVN30,Quỹ ETF DCVFMVN30
419,EBS,HNXIndex,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Sách Giáo dục Hà Nội
420,E29,UpcomIndex,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Đầu tư XD và Kỹ thuật 29
421,ECI,HNXIndex,Công ty Cổ phần Tập đoàn ECI,Bản đồ và tranh ảnh GD
422,EFI,UpcomIndex,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính giáo dục
423,EIB,VNINDEX,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank
424,EID,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Phát triển GD Hà Nội
425,ELC,VNINDEX,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM
426,EMC,VNINDEX,Công ty Cổ phần Cơ điện Thủ Đức,Cơ điện Thủ Đức
427,EME,UpcomIndex,Công ty Cổ phần Điện Cơ,Điện Cơ
428,EMG,UpcomIndex,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Thiết bị phụ tùng cơ điện
429,EMS,UpcomIndex,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Chuyển phát nhanh Bưu điện
430,EPC,UpcomIndex,Công ty Cổ phần Cà Phê Ea Pốk,Cà Phê Ea Pốk
431,FUESSVFL,VNINDEX,Quỹ ETF SSIAM VNFIN LEAD,Quỹ ETF SSIAM VNFIN LEAD
432,EVE,VNINDEX,Công ty Cổ phần Everpia,Everpia
433,EVG,VNINDEX,Công ty Cổ phần Tập đoàn Everland,Tập đoàn Everland
434,EVF,VNINDEX,Công ty Tài chính Cổ phần Điện Lực,Tài chính Điện lực
435,EIC,UpcomIndex,Công ty Cổ phần EVN Quốc Tế,EVN Quốc Tế
436,LEC,VNINDEX,Công ty Cổ phần Bất động sản Điện lực Miền Trung,BĐS Điện lực Miền Trung
437,FHS,UpcomIndex,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Phát hành sách TP HCM - FAHASA
438,ROS,UpcomIndex,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng FLC FAROS
439,FBA,UpcomIndex,Công ty Cổ phần Tập đoàn Quốc tế FBA,Tập đoàn Quốc tế FBA
440,FCM,VNINDEX,Công ty Cổ phần Khoáng sản FECON,Khoáng sản FECON
441,FCN,VNINDEX,Công ty Cổ phần FECON,FECON CORP
442,FDC,VNINDEX,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,FIDECO
443,FIC,UpcomIndex,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,VLXD số 1
444,FID,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Đầu tư và PT doanh nghiệp VN
445,FIR,VNINDEX,Công ty Cổ phần Địa ốc First Real,Địa ốc First Real
446,FSO,UpcomIndex,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Đóng tàu thủy sản VN
447,FIT,VNINDEX,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T
448,FLC,UpcomIndex,Công ty Cổ phần Tập đoàn FLC,Tập đoàn FLC
449,ART,HNXIndex,Công ty Cổ phần Chứng khoán BOS,Chứng khoán BOS
450,FMC,VNINDEX,Công ty Cổ phần Thực phẩm Sao Ta,Thực phẩm Sao Ta
451,FOC,UpcomIndex,Công ty Cổ phần Dịch vụ Trực tuyến FPT,FPT Online
452,FBC,UpcomIndex,Công ty Cổ phần Cơ khí Phổ Yên,Cơ khí Phổ Yên
453,FCS,UpcomIndex,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Lương thực TP Hồ Chí Minh
454,FRM,UpcomIndex,Công ty Cổ phần Lâm nghiệp Sài Gòn,Lâm nghiệp Sài Gòn
455,DP3,HNXIndex,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược Phẩm TW3
456,FTM,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Phát triển Đức Quân
457,FPT,VNINDEX,Công ty Cổ phần FPT,FPT Corp
458,FRT,VNINDEX,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT
