,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
379,UPCOM,Cấp nước Đồng Tháp,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,718.0,621.0,0.0,http://www.dowasen.com,3.8,0.013,-0.106,0.151,25.9,25.9,CT,DWS,,,,
380,HNX,Nhựa Đà Nẵng,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2000,39.0,285.0,0.018,http://www.danaplast.vn,3.7,-0.113,-0.264,-0.191,2.2,2.2,CT,DPC,,,,
381,HOSE,Đạm Phú Mỹ,151.0,1357,Hóa chất,Chemicals,2004,1529.0,15217.0,0.185,http://www.dpm.vn,4.8,-0.029,-0.087,-0.13,391.3,391.4,CT,DPM,,,,
382,UPCOM,Dược Đồng Nai,238.0,4577,Y tế,Health Care,1996,90.0,141.0,0.001,http://www.donaipharm.com.vn,3.8,-0.017,-0.042,0.211,3.0,3.0,CT,DPP,,,,
383,HOSE,Cao su Đồng Phú,150.0,1353,Hóa chất,Chemicals,2004,4157.0,3907.0,0.025,http://www.doruco.com.vn,4.2,-0.007,-0.06,-0.083,43.4,43.0,CT,DPR,,,,
384,UPCOM,Đầu tư Phát triển Sóc Sơn,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2010,38.0,265.0,0.002,http://www.dautusocson.com,3.4,-0.217,-0.242,-0.532,31.1,31.1,CT,DPS,,,,
385,UPCOM,Dược phẩm TW 2,238.0,4577,Y tế,Health Care,2005,196.0,379.0,0.0,http://www.dopharma.vn,3.4,-0.017,0.019,0.018,20.0,20.0,CT,DP2,,,,
386,HOSE,Bóng đèn Điện Quang,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,1085.0,361.0,0.008,https://dienquang.com/,3.5,-0.009,-0.048,-0.326,27.6,34.4,CT,DQC,,,,
387,HOSE,Cao su Đà Nẵng,213.0,3357,Ô tô và phụ tùng,Automobiles & Parts,2005,1734.0,14480.0,0.084,https://drc.com.vn/,3.9,-0.019,-0.042,-0.036,118.8,118.8,CT,DRC,,,,
388,HOSE,DRH Holdings,336.0,8633,Bất động sản,Real Estate,2006,62.0,0.0,0.007,http://www.drh.vn,3.4,-0.035,0.018,-0.469,123.7,124.4,CT,DRH,,,,
389,HOSE,Thủy điện - Điện lực 3,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2003,34.0,1852.0,0.031,http://www.pc3hp.com.vn,3.9,0.005,-0.078,0.379,9.5,9.5,CT,DRL,,,,
390,HOSE,Công viên nước Đầm Sen,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2003,153.0,339.0,0.231,http://www.damsenwaterpark.com.vn,4.1,-0.002,0.042,0.518,12.1,12.1,CT,DSN,,,,
391,HNX,Đầu tư Sao Thăng Long,256.0,5557,Truyền thông,Media,2005,6.0,2480.0,0.001,http://www.saothanglong.vn,4.0,-0.041,-0.067,-0.433,32.2,32.3,CT,DST,,,,
392,UPCOM,Đường sắt Vĩnh Phú,192.0,2775,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,456.0,161.0,0.0,http://www.duongsatvinhphu.com,3.8,-0.017,-0.042,0.676,1.2,1.2,CT,DSV,,,,
393,HOSE,BĐS Đệ Tam,336.0,8633,Bất động sản,Real Estate,2003,39.0,141.0,0.002,http://www.detamland.com,3.7,0.017,-0.065,-0.479,18.1,18.1,CT,DTA,,,,
394,UPCOM,VLXD Đồng Tháp,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010,513.0,446.0,0.0,http://www.dongthapbmc.vn,3.5,0.042,-0.073,-0.061,38.6,38.6,CT,BDT,,,,
395,HNX,Viglacera Đông Triều,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,697.0,299.0,0.017,http://viglaceradtc.com.vn,3.4,-0.017,-0.022,-0.263,10.0,10.0,CT,DTC,,,,
396,UPCOM,Đại Trường Thành Holdings,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2016,0.0,310.0,0.0,http://www.dttholdings.com.vn,3.7,-0.017,-0.292,-0.455,50.7,50.7,CT,DTE,,,,
397,UPCOM,Đầu tư Đức Trung,259.0,5753,Du lịch và Giải trí,Travel & Leisure,1994,19.0,152.0,0.0,http://www.ductrung.vn,4.0,0.124,0.063,0.081,12.1,12.1,CT,DTI,,,,
398,HOSE,Đại Thiên Lộc,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2001,311.0,310.0,0.0,http://daithienloc.com.vn/,3.0,-0.021,-0.031,-0.212,60.6,61.4,CT,DTL,,,,
